origin_location;destination_location;coor_y;coor_x;distance_in_km;vehicle_type;tripfare
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Ekonomi;986440
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;MPV;996440
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Van;1077560
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Double Engkel Pickup;1811400
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;CDD Long;2254500
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Fuso Box;3357000
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Small Box;1172290
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Pickup;1118950
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Engkel Box;1538900
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Fuso Bak;3357000
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Tronton Box;3745000
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Tronton Wing Box;3745000
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Engkel Pickup;1631400
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Double Engkel Box;1811400
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Tronton Bak;3745000
KOTA BANDUNG;BATANG;-7.0326;109.7986;290;Tronton Bak;3745000
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Ekonomi;313600
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;MPV;323600
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Van;373280
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Double Engkel Pickup;883000
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;CDD Long;1206000
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Fuso Box;1776200
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Small Box;415300
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Pickup;395620
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Engkel Box;613700
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Fuso Bak;1776200
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Tronton Box;2114200
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Tronton Wing Box;2114200
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Engkel Pickup;703000
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Double Engkel Box;883000
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Tronton Bak;2114200
KOTA BANDUNG;CIKAJANG;-7.343663;107.8032095;76;Tronton Bak;2114200
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Ekonomi;568480
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;MPV;578480
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Van;644264
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Double Engkel Pickup;1243800
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;CDD Long;1584000
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Fuso Box;2380200
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Small Box;702040
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Pickup;669616
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Engkel Box;964160
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Fuso Bak;2380200
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Tronton Box;2740600
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Tronton Wing Box;2740600
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Engkel Pickup;1063800
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Double Engkel Box;1243800
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Tronton Bak;2740600
KOTA BANDUNG;CIKATOMAS;-7.54843684;108.2892058;152;Tronton Bak;2740600
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Ekonomi;840640
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;MPV;850640
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Van;927560
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Double Engkel Pickup;1613400
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;CDD Long;2002000
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Fuso Box;3017000
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Small Box;1008240
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Pickup;962200
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Engkel Box;1338400
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Fuso Bak;3017000
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Tronton Box;3395000
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Tronton Wing Box;3395000
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Engkel Pickup;1433400
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Double Engkel Box;1613400
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Tronton Bak;3395000
KOTA BANDUNG;CILACAP;-7.6983;109.0235;240;Tronton Bak;3395000
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Ekonomi;649480
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;MPV;659480
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Van;729314
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Double Engkel Pickup;1353800
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;CDD Long;1696500
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Fuso Box;2570200
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Small Box;793165
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Pickup;756691
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Engkel Box;1075535
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Fuso Bak;2570200
KOTA BANDUNG;CIPATUJAH;-7.626005798;108.010793;177;Tronton Box;2935600
