origin_location;destination_location;vehicle_type;distance_in_km;tripfare
KOTA BANDUNG;BATANG;Ekonomi;290;986440
KOTA BANDUNG;BATANG;MPV;290;996440
KOTA BANDUNG;BATANG;Van;290;1077560
KOTA BANDUNG;BATANG;Double Engkel Pickup;290;1811400
KOTA BANDUNG;BATANG;CDD Long;290;2254500
KOTA BANDUNG;BATANG;Fuso Box;290;3357000
KOTA BANDUNG;BATANG;Small Box;290;1172290
KOTA BANDUNG;BATANG;Pickup;290;1118950
KOTA BANDUNG;BATANG;Engkel Box;290;1538900
KOTA BANDUNG;BATANG;Fuso Bak;290;3357000
KOTA BANDUNG;BATANG;Tronton Box;290;3745000
KOTA BANDUNG;BATANG;Tronton Wing Box;290;3745000
KOTA BANDUNG;BATANG;Engkel Pickup;290;1631400
KOTA BANDUNG;BATANG;Double Engkel Box;290;1811400
KOTA BANDUNG;BATANG;Tronton Bak;290;3745000
KOTA BANDUNG;BATANG;Tronton Bak;290;3745000
KOTA BANDUNG;CIKAJANG;Ekonomi;76;313600
KOTA BANDUNG;CIKAJANG;MPV;76;323600
KOTA BANDUNG;CIKAJANG;Van;76;373280
KOTA BANDUNG;CIKAJANG;Double Engkel Pickup;76;883000
KOTA BANDUNG;CIKAJANG;CDD Long;76;1206000
KOTA BANDUNG;CIKAJANG;Fuso Box;76;1776200
KOTA BANDUNG;CIKAJANG;Small Box;76;415300
KOTA BANDUNG;CIKAJANG;Pickup;76;395620
KOTA BANDUNG;CIKAJANG;Engkel Box;76;613700
KOTA BANDUNG;CIKAJANG;Fuso Bak;76;1776200
KOTA BANDUNG;CIKAJANG;Tronton Box;76;2114200
KOTA BANDUNG;CIKAJANG;Tronton Wing Box;76;2114200
KOTA BANDUNG;CIKAJANG;Engkel Pickup;76;703000
KOTA BANDUNG;CIKAJANG;Double Engkel Box;76;883000
KOTA BANDUNG;CIKAJANG;Tronton Bak;76;2114200
KOTA BANDUNG;CIKAJANG;Tronton Bak;76;2114200
KOTA BANDUNG;CIKATOMAS;Ekonomi;152;568480
KOTA BANDUNG;CIKATOMAS;MPV;152;578480
KOTA BANDUNG;CIKATOMAS;Van;152;644264
KOTA BANDUNG;CIKATOMAS;Double Engkel Pickup;152;1243800
KOTA BANDUNG;CIKATOMAS;CDD Long;152;1584000
KOTA BANDUNG;CIKATOMAS;Fuso Box;152;2380200
KOTA BANDUNG;CIKATOMAS;Small Box;152;702040
KOTA BANDUNG;CIKATOMAS;Pickup;152;669616
KOTA BANDUNG;CIKATOMAS;Engkel Box;152;964160
KOTA BANDUNG;CIKATOMAS;Fuso Bak;152;2380200
KOTA BANDUNG;CIKATOMAS;Tronton Box;152;2740600
KOTA BANDUNG;CIKATOMAS;Tronton Wing Box;152;2740600
KOTA BANDUNG;CIKATOMAS;Engkel Pickup;152;1063800
KOTA BANDUNG;CIKATOMAS;Double Engkel Box;152;1243800
KOTA BANDUNG;CIKATOMAS;Tronton Bak;152;2740600
KOTA BANDUNG;CIKATOMAS;Tronton Bak;152;2740600
KOTA BANDUNG;CILACAP;Ekonomi;240;840640
KOTA BANDUNG;CILACAP;MPV;240;850640
KOTA BANDUNG;CILACAP;Van;240;927560
KOTA BANDUNG;CILACAP;Double Engkel Pickup;240;1613400
KOTA BANDUNG;CILACAP;CDD Long;240;2002000
KOTA BANDUNG;CILACAP;Fuso Box;240;3017000
KOTA BANDUNG;CILACAP;Small Box;240;1008240
KOTA BANDUNG;CILACAP;Pickup;240;962200
KOTA BANDUNG;CILACAP;Engkel Box;240;1338400
KOTA BANDUNG;CILACAP;Fuso Bak;240;3017000
KOTA BANDUNG;CILACAP;Tronton Box;240;3395000
KOTA BANDUNG;CILACAP;Tronton Wing Box;240;3395000
KOTA BANDUNG;CILACAP;Engkel Pickup;240;1433400
KOTA BANDUNG;CILACAP;Double Engkel Box;240;1613400
KOTA BANDUNG;CILACAP;Tronton Bak;240;3395000
KOTA BANDUNG;CILACAP;Tronton Bak;240;3395000
KOTA BANDUNG;CIPATUJAH;Ekonomi;177;649480
KOTA BANDUNG;CIPATUJAH;MPV;177;659480
KOTA BANDUNG;CIPATUJAH;Van;177;729314
KOTA BANDUNG;CIPATUJAH;Double Engkel Pickup;177;1353800
KOTA BANDUNG;CIPATUJAH;CDD Long;177;1696500
KOTA BANDUNG;CIPATUJAH;Fuso Box;177;2570200
KOTA BANDUNG;CIPATUJAH;Small Box;177;793165
KOTA BANDUNG;CIPATUJAH;Pickup;177;756691
KOTA BANDUNG;CIPATUJAH;Engkel Box;177;1075535
KOTA BANDUNG;CIPATUJAH;Fuso Bak;177;2570200
KOTA BANDUNG;CIPATUJAH;Tronton Box;177;2935600
KOTA BANDUNG;CIPATUJAH;Tronton Wing Box;177;2935600
KOTA BANDUNG;CIPATUJAH;Engkel Pickup;177;1173800
KOTA BANDUNG;CIPATUJAH;Double Engkel Box;177;1353800
KOTA BANDUNG;CIPATUJAH;Tronton Bak;177;2935600
KOTA BANDUNG;CIPATUJAH;Tronton Bak;177;2935600
